Name;Class;Blood;EpiCA;EpiCP;EpiMCA;ESC;Liver;Muscle;SpCA;SpCP;Scyte;Sptid1;Sptid2;Testis
chr13.trna91-ValCAC;tRFs;13005,3336;14828,26696;2789,653472;23688,44085;8148,20662;25860,32915;19017,09536;27037,44413;5862,221467;437,3363387;561,66572;972,77891;430,994453
chr3.trna284-ValCAC;tRFs;12990,30514;14800,34607;2796,132618;23654,26446;8166,28312;25776,70965;19055,43179;27091,12178;5873,122507;442,8429543;565,6694769;973,026101;435,7725999
chr3.trna48-ValAAC;tRFs;12484,63083;14036,34392;2608,237384;23487,66796;6935,567437;25356,28087;18158,71035;26120,90221;5693,141452;379,8485055;453,1697533;876,1766744;389,0923441
chr11.trna204-ValCAC;tRFs;12929,73913;14794,59925;2772,185186;23570,16604;8131,450216;25834,15682;19074,93747;27044,66249;5860,789688;439,9122625;564,7196806;967,8680492;429,4452882
chr13.trna966-ValCAC;tRFs;12975,40968;14840,4654;2772,185186;23584,21466;8141,905367;25810,44777;19000,5594;27042,55124;5851,548209;437,4134621;566,8676815;968,1646784;429,2959711
chr14.trna364-GluTTC;tRFs;170,8722195;6713,373482;1942,092248;9857,419452;1267,713543;302,5873211;1287,645008;4830,37455;2182,81127;169,5636571;312,5560578;423,0756049;411,5459018
chr1.trna1555-GluTTC;tRFs;161,5359572;6514,837015;1880,730924;9659,868722;1187,27576;281,517496;1170,880889;4567,12882;2119,194752;171,9082106;321,39647;439,9340298;402,344236
chr14.trna352-GluTTC;tRFs;93,25622691;5564,713696;1542,227307;9633,071078;1330,022023;308,6575421;620,6721615;3807,892705;1607,919697;58,92232969;102,8994745;167,9745118;195,9786829
chr13.trna105-GluTTC;tRFs;92,48485482;5531,154419;1545,593922;9576,425477;1307,122776;314,2439049;611,1555484;3778,111108;1599,101244;59,46219397;105,7050268;168,1722646;195,1947682
chr9.trna961-GluTTC;tRFs;95,51714514;5586,128744;1545,085754;9635,89584;1316,152226;305,3145219;617,9049194;3813,896203;1615,85956;56,20758361;103,045597;166,8374333;198,7410491
chr7.trna339-GluTTC;tRFs;91,208101;5511,636907;1538,225482;9560,271706;1317,771542;310,1970909;615,2726647;3792,94883;1599,426648;58,45958888;103,7762096;167,9580324;198,0411252
chr13.trna995-MetCAT;tRFs;273,8104963;5409,224185;2252,583087;4966,822528;395,8172575;256,0489601;614,5302339;4692,91921;3812,598129;120,4360079;82,8660778;72,39399884;95,98289303
chr13.trna108-MetCAT;tRFs;276,443801;5430,639233;2268,780952;4941,109678;395,9932702;253,1018238;605,418583;4682,020915;3770,425747;120,9758722;82,76379204;72,47639584;97,53205786
chr3.trna792-MetCAT;tRFs;276,3640039;5460,782946;2297,111335;4971,193927;397,9822132;255,1692179;621,5495798;4698,486305;3804,039999;122,4257934;84,13734367;69,77377444;97,51339322
chr13.trna82-MetCAT;tRFs;268,3044954;5369,755439;2220,187357;4953,278708;377,0367073;250,6385457;602,7188346;4605,225675;3736,388469;121,0992697;80,70346459;67,84568478;93,64981348
chr13.trna111-MetCAT;tRFs;274,0498876;5403,585793;2262,174764;4980,441531;393,6170993;260,7995678;605,4860767;4689,133114;3804,88605;123,9991121;81,14183213;71,71834349;98,01733841
chr13.trna90-MetCAT;tRFs;279,6888836;5445,602659;2288,027826;4963,106301;396,5037069;253,7616304;621,6170735;4681,384001;3780,480736;123,4438232;84,50264995;72,90486021;95,74958508
chr13.trna959-MetCAT;tRFs;276,417202;5417,193836;2257,791812;4902,970025;397,7885993;261,9432326;604,2711899;4652,616748;3753,56981;121,4540377;82,3838735;72,27864305;95,95489608
chr13.trna78-MetCAT;tRFs;270,0068338;5432,482554;2263,508705;4940,121548;396,7325233;245,6240153;601,90891;4657,664876;3768,668564;120,8370499;82,54460826;73,69587135;97,62538104
chr13.trna986-ValAAC;tRFs;4586,764696;5307,733124;806,5266328;10084,87184;8187,98548;11913,51252;7885,897638;10234,11266;1868,535909;216,8094938;285,5672295;364,6726156;191,1632067
chr11.trna945-ArgCCG;tRFs;229,416702;3592,794419;2184,170928;15559,24927;372,1435555;241,4892271;748,5052492;10469,32241;8893,62177;81,84342444;50,4414919;43,99999474;85,87599239
chr12.trna796-LysCTT;tRFs;142,4910461;2842,129228;3292,04137;4828,602534;185,0773062;161,6966118;244,5972068;2710,184315;5142,036925;41,77007037;63,97243671;70,94381175;47,60415531
chr13.trna103-LysCTT;tRFs;268,4108916;1586,990572;2037,818454;4272,425215;163,181332;122,2401752;331,5291059;3492,726742;7165,074741;23,96997391;25,42531747;42,56628705;24,45067377
chr17.trna83-LysCTT;tRFs;270,2462252;1600,978122;2035,468175;4278,568803;160,4355346;124,0876338;328,5593826;3483,951491;7119,062589;23,07534168;24,70931715;41,19849695;25,29991473
chr3.trna748-LysCTT;tRFs;272,7465347;1613,71872;2043,154221;4271,340421;159,3090536;124,3955436;328,1544203;3505,712698;7172,75428;24,13964554;23,68645955;44,11535054;25,11326837
chr3.trna292-LysCTT;tRFs;271,2303896;1607,375529;2014,37919;4271,71634;160,3651295;123,2958658;333,351436;3484,328921;7113,69342;23,30671208;24,40245987;41,14905876;24,17070423
chr17.trna999-LysCTT;tRFs;274,7414626;1587,424295;2043,852952;4262,962801;160,0131042;122,0202397;336,3211593;3497,244109;7143,142499;22,64345026;23,59878604;42,82995743;23,93739627
chr11.trna2023-LysCTT;tRFs;266,8947464;1607,971897;2058,335749;4261,480606;159,1506422;122,0202397;329,9767505;3498,883571;7157,265041;23,7540282;23,97870458;42,46741066;24,66531709
chr17.trna81-LysCTT;tRFs;271,6825732;1613,176567;2015,58609;4267,710119;157,8481486;122,5040979;337,9410084;3487,713998;7132,664484;23,90827514;23,42343902;41,79175531;24,26402741
chr9.trna1035-LysCTT;tRFs;141,1078961;2807,919367;3384,464481;4319,823213;183,1059645;153,3390611;228,5337037;2531,96652;4811,068329;37,42030676;58,02525038;63,13257673;47,05354853
chr1.trna485-LysTTT;tRFs;84,42534633;3131,964279;1943,934358;3320,319415;361,7060051;302,543334;294,0700965;1911,553929;2956,622421;67,57558282;110,483233;114,5318215;47,80013399
chr13.trna1012-LysTTT;tRFs;85,19671843;3133,428092;1945,522384;3295,08989;363,2725177;303,9949086;301,0219487;1909,961645;2943,215769;66,21820978;110,4393962;115,2239563;49,35863114
chr11.trna1816-LysTTT;tRFs;84,90412901;3128,548714;1947,872662;3298,623527;358,5729798;299,7281591;297,6472632;1911,742644;2964,497203;67,08199263;111,0531108;112,9992374;49,16265246
chr19.trna641-LysTTT;tRFs;85,94149149;3128,982436;1949,270125;3305,293402;358,0097393;300,2120172;291,3703481;1909,97344;2971,656095;66,81977283;108,8320486;113,724331;50,19853978
chr1.trna1192-LysTTT;tRFs;85,0371242;3114,290087;1947,300973;3303,897131;357,8161254;296,2091904;299,0646311;1910,138566;2962,121752;66,6501012;110,9654373;116,575267;48,98533841
chr19.trna107-LysTTT;tRFs;84,85093093;3145,789183;1955,495187;3264,618981;357,0240685;301,1357465;292,3827538;1914,844648;2951,415954;65,18475531;108,101436;116,1962408;49,18131709
chr7.trna389-ArgTCG;tRFs;14,25708432;1474,385372;375,0917356;7007,052311;80,20896667;63,91326902;176,8335215;3653,641724;1097,523234;6,077329293;7,671431995;7,662920433;23,94672859
chr13.trna110-GlyGCC;tRFs;1807,058839;1813,014202;1967,056016;2997,329933;2164,163594;1854,452518;1931,939969;3017,223736;4866,679904;58,07397154;71,90688923;91,77377181;75,17182337
chr13.trna77-GlyGCC;tRFs;1825,518571;1822,068159;1980,776561;2984,602395;2167,31422;1863,030004;1925,730547;3016,409902;4869,022814;57,27188747;73,44117563;88,08238648;76,59966806
chr8.trna562-GlyGCC;tRFs;1815,996115;1916,673876;2099,751467;2990,864129;2170,007214;1886,607094;1952,323069;3078,851001;5005,432249;57,53410726;75,23848256;93,05916491;79,6886654
chr1.trna1400-GlyGCC;tRFs;1816,767487;1755,92548;1882,636555;2966,386441;2172,365784;1845,787058;1928,430296;2951,079103;4764,795854;57,07136646;71,62925645;88,80748003;76,94496384
chr8.trna891-GlyGCC;tRFs;1802,723195;1839,525489;1974,106852;2988,103811;2167,226214;1858,763255;1912,366793;3006,596718;4858,5448;59,1382754;73,41195113;91,08163706;77,01962238
chr2.trna1747-GlyGCC;tRFs;1814,932154;1810,791374;1983,889092;2986,073849;2169,215157;1859,862932;1934,369742;3009,863848;4866,907687;57,14848992;71,71692996;89,36777959;76,49701256
chr8.trna892-GlyGCC;tRFs;1812,245651;1814,206939;1954,47885;2974,34518;2159,182436;1866,241063;1923,975711;2997,184554;4839,996761;55,79111688;74,52248224;89,77976456;76,55300647
chr1.trna699-GlyGCC;tRFs;1809,319757;1809,598637;1969,787421;2987,147903;2168,106277;1863,777785;1918,306239;3014,664288;4844,194475;58,64468521;72,6082773;92,48238596;76,66499429
chr3.trna878-GlyGCC;tRFs;1805,782085;1818,056226;1956,511524;2970,585992;2167,736651;1861,402481;1914,121629;3004,296754;4841,265838;58,38246541;72,79823657;91,65841602;78,2048268
chr11.trna1819-GlyGCC;tRFs;1810,942298;1817,514073;1982,55515;2983,367233;2177,311739;1847,370593;1920,871;3018,367821;4839,736438;58,55213704;73,04664484;90,65317269;77,31825657
chr3.trna282-GlyCCC;tRFs;1710,610727;1639,633639;1712,844818;2960,898026;2133,484588;1557,847444;1770,022557;2769,971609;4444,891;31,29670339;42,72622315;63,23145312;66,21279787
chr19.trna110-ValTAC;tRFs;96,92689415;1556,575783;826,5992811;2780,188461;283,6267915;1486,588327;731,1593656;1262,409468;1756,727031;19,01864725;12,28890344;14,28763874;42,43405101
chr19.trna109-ValTAC;tRFs;97,85786047;1566,822477;811,1001476;2798,039236;284,6652662;1491,558871;735,3439756;1263,388428;1768,506663;18,6638793;12,05510742;15,44119666;43,26462733
chrX.trna460-ValTAC;tRFs;98,94842103;1563,298481;835,1111004;2789,500508;277,0087157;1480,694055;751,2049976;1250,013247;1771,142436;19,1420448;12,25967894;15,21048507;43,21796574
chr13.trna985-ArgACG;tRFs;136,4796635;1250,096632;872,4614713;3389,080344;92,61785882;99,14694313;283,001128;1705,70117;2716,701916;4,997600738;8,44588132;4,72958745;28,51956452
chr9.trna783-ArgACG;tRFs;137,9160116;1231,663426;860,4559949;3341,929379;88,21754245;94,9681678;268,4899803;1655,455783;2711,495449;5,198121756;7,130778692;4,877902039;27,30636315
chr3.trna628-ArgTCT;tRFs;100,0123825;3364,927468;1798,725263;1794,207002;169,940218;210,0824314;241,7624709;1071,819041;2335,718697;23,19873923;42,68238639;36,02396573;43,92722193
chr11.trna401-LeuTAG;tRFs;15,95942275;604,3380674;855,691917;1388,397225;332,1358791;184,7018697;215,169949;656,8699838;1403,988895;43,42051259;20,98319304;46,29063117;22,0616003
chr9.trna593-CysGCA;tRFs;14,09749009;210,4638358;187,132981;1117,907497;47,01298003;177,971842;365,4109485;560,1653046;794,7346401;6,169877455;6,926207173;9,953556864;6,084671488
chr11.trna1433-CysGCA;tRFs;31,38686473;247,1676011;196,7246579;1135,1031;50,37482173;189,1445676;387,8863541;590,8079142;808,5643179;6,540070102;7,262288955;12,24419329;7,017903312
chr11.trna791-CysGCA;tRFs;30,82828494;247,8181848;200,027752;1134,941991;50,65644198;191,3439231;395,5806371;595,4314335;805,2451953;6,308699697;7,671431995;12,1453169;7,232546631
chr11.trna1442-CysGCA;tRFs;21,94420628;226,8910749;194,2473374;1123,857755;48,12185975;183,646179;360,8888699;574,6845703;802,6419618;6,324124391;6,853145915;10,53033582;6,457964218
chr17.trna457-CysGCA;tRFs;14,5230747;206,1808262;181,8607348;1115,77013;46,85456864;183,8221275;365,8159108;563,9514007;796,3942014;6,046479906;7,203839949;10,18426845;5,944686715
chr11.trna1432-CysGCA;tRFs;31,86564742;250,6915963;198,1221208;1131,429835;49,89958756;192,8834719;398,8203352;594,8534936;807,4579437;6,339549085;7,349962464;11,45318215;7,18588504
chr6.trna157-CysGCA;tRFs;30,64209167;246,0290795;199,3290205;1125,823274;49,23073947;194,4230207;391,6660019;590,9730399;806,4491907;6,10817868;7,174615447;11,12359418;7,34453445
chr13.trna965-ArgACG;tRFs;50,69776626;923,0156631;645,1831936;2435,137912;98,1798587;63,91326902;157,125358;1069,943685;2121,765445;4,858778496;8,270534303;5,306366407;19,83117625
chr14.trna210-ArgACG;tRFs;49,23481917;918,2989311;628,6042024;2440,819657;98,44387768;58,19494488;156,2479398;1072,267239;2114,281149;5,275245224;7,744493252;4,910860837;19,10325542
chr13.trna963-ArgACG;tRFs;49,89979512;904,7451034;613,295632;2437,135653;95,31085243;57,66709958;157,6653077;1062,572003;2104,876968;5,182697062;8,226697549;4,614231659;19,45788352
chr17.trna993-ArgCCG;tRFs;13,7517026;828,4641614;354,8285241;4776,747213;52,09974574;11,48063538;161,0399932;1875,969343;1470,891995;5,383218079;6,473227379;4,811984444;12,74794671
chr7.trna443-ProTGG;tRFs;10,10763441;306,7502274;229,6920772;970,7406347;54,01828368;41,47984356;49,74286462;607,5681715;190,8820947;5,321519305;5,128900248;9,310860311;11,83337952
chr7.trna863-LeuTAG;tRFs;103,5500546;420,4939491;434,5474281;1363,855094;169,7642053;383,3476528;381,6769327;446,8419043;1041,163229;14,02104652;9,483351171;30,55280534;17,05014541
chr14.trna189-LeuAAG;tRFs;19,60349094;548,604728;820,6283035;1082,28113;314,8514364;130,1138677;162,3223737;607,5917609;1331,651545;34,58216313;19,36123313;39,56703647;21,47366426
chr13.trna62-LeuAAG;tRFs;17,42236983;543,887996;824,3125237;1087,952134;308,91981;129,3660868;159,4201441;601,5056998;1314,502744;35,26084965;18,71829407;37,47415283;21,58565207
chr11.trna2021-LeuAAG;tRFs;18,61932654;556,5201634;815,2925362;1083,269259;313,9713732;132,7091071;161,4449555;600,8216077;1326,445078;36,3560029;20,41331523;39,35280429;21,16569775
chr13.trna994-GlnCTG;tRFs;10,02783729;918,7326536;463,1318957;889,9073399;77,445568;34,74981592;83,82718841;274,8399117;336,5330077;18,1702891;33,33054549;17,36928631;28,46357061
chr11.trna1817-GlnCTG;tRFs;10,71941228;931,6358975;465,9903425;892,7965448;78,06161229;30,79097613;87,06688652;274,6276073;340,210075;17,10598524;34,17805607;18,11085926;27,23170461
chr9.trna342-GlnCTG;tRFs;10,13423344;922,6903712;468,2770999;892,3347017;77,25195408;30,79097613;81,86987081;275,2173419;341,4466109;17,80009646;34,22189282;17,43520391;27,36235706
chr13.trna64-GlnCTG;tRFs;10,61301613;934,346663;467,9594947;895,3098309;77,95600469;34,30994483;83,55721357;275,1583684;347,6943713;16,7357926;33,09674946;17,68239489;28,18360107
chr3.trna753-GlnCTG;tRFs;9,176668079;821,7956782;355,5907766;793,8224801;75,24540982;24,19290981;66,41381111;241,2014503;208,3562994;16,56612097;32,14695312;17,48464211;25,55188732
chr13.trna87-GlnCTG;tRFs;4,043053762;778,2065685;314,4926643;757,6268644;63,20614424;17,94674037;56,6947168;217,6592452;185,8057894;14,5454861;31,63552432;14,20524175;24,55332927
chr3.trna756-GlnCTG;tRFs;8,538291169;814,25975;346,8883942;787,4211189;74,55896046;23,97297427;68,77609098;242,3927142;212,8468772;16,89003953;33,35976999;17,18801293;26,28914046
chr7.trna88-SeC(e)TCA;tRFs;32,45082625;779,5619512;411,8704172;4023,33064;41,43337888;69,80754159;157,8002951;5063,850477;1325,82681;27,56392753;23,32115326;36,4524301;23,94672859
chr3.trna297-GlnCTG;tRFs;9,41605942;823,4221375;355,7178187;779,9134823;75,87905537;21,81760594;68,64110356;239,9983917;212,0659071;17,75382238;32,05927961;16,71011036;25,15059764
chr14.trna462-PheGAA;tRFs;6,49016525;412,9580209;143,8751534;436,4095714;133,5055985;11,74455804;21,93545591;824,7202449;152,3216988;1,958936092;2,06032745;4,877902039;6,831256947
chr10.trna971-PheGAA;tRFs;7,341334463;413,1206668;140,4450173;435,9477282;134,4560668;12,18442912;22,20543075;828,9545393;157,6583274;2,252005271;2,425633736;4,960299033;6,411302627
chr11.trna1880-TrpCCA;tRFs;36,99926173;352,2910883;438,3586905;1264,472889;152,1277373;271,4884352;212,605188;998,6919511;2162,994156;4,843353802;13,25331204;44,19774753;10,27488238
chr13.trna60-PheGAA;tRFs;5,399604696;402,7655425;137,2054443;434,508496;136,72663;12,40436467;22,5428993;824,1305103;155,445579;2,190306496;2,337960227;4,482396468;6,39263799
chr19.trna106-PheGAA;tRFs;6,144377757;408,0244276;140,3179753;433,1444476;136,7442313;12,40436467;19,9781383;824,4135829;160,1964801;2,082333641;2,133388707;5,355804604;6,373973354
chr5.trna1316-PheGAA;tRFs;6,197575833;418,0000448;141,2707908;435,7221769;134,0336364;11,87651936;21,66548106;825,7227937;157,7234083;2,329128739;2,118776456;5,372284002;6,915247811
chr1.trna702-GlyGCC;tRFs;2596,358689;1186,447857;522,9051934;1654,880733;2420,473221;233,791483;1587,857033;2343,911952;1265,399253;37,8213488;41,11887549;44,74156769;50,25453369
chr10.trna867-TrpCCA;tRFs;93,54881633;263,7574861;86,19804999;1455,27856;123,6664911;134,292643;131,1402795;1575,428798;466,1414945;2,637622612;4,456736683;12,49138428;7,867144271
chr1.trna706-GlyGCC;tRFs;2585,054098;1195,66446;524,4296984;1650,734885;2405,388937;235,1550834;1570,578643;2336,787958;1272,135119;37,15808697;41,27961026;45,87864621;51,01978378
chr1.trna704-GlyGCC;tRFs;2602,343473;1198,917379;513,5676007;1643,903902;2411,989411;236,1667869;1541,42136;2338,745876;1255,181561;37,42030676;41,06042649;45,02171747;50,63715874
chr10.trna866-AspGTC;tRFs;1387,272822;2875,308998;1456,410383;1936,175443;266,553564;4568,105231;1600,140888;3727,971873;2332,627357;301,228842;457,0566121;836,7744319;513,604134
chr13.trna1009-ArgCCG;tRFs;12,12916129;593,8202971;249,1930362;2328,108444;52,36376473;37,1691069;154,6955844;1099,748872;697,0808443;4,689106866;6,531676384;3,806741118;9,229662733
chr11.trna1849-TrpCCA;tRFs;72,80156676;206,2350416;362,768654;429,3315563;144,1543641;254,2015015;133,9075216;315,8972344;2095,993434;2,822718936;3,068572798;6,344568531;5,067448801
chr3.trna750-AsnGTT;tRFs;9,309663269;430,3611356;359,9102072;675,8591427;131,2702378;150,9197701;100,4981349;103,4394484;263,7075512;6,833139281;8,723514097;11,40374396;8,147113818
chr2.trna1947-AsnGTT;tRFs;9,04367289;438,0054944;378,7124348;669,7477762;132,0974972;151,0957186;101,0380846;103,7932891;262,5360962;6,632618264;8,767350851;10,44793883;8,240437
chr3.trna289-AsnGTT;tRFs;9,283064231;435,4573748;371,4075153;680,7353473;132,8543516;155,2744939;98,87828585;103,1563758;264,2607383;6,478371327;9,176493891;11,58501734;8,08178759
chr10.trna390-AsnGTT;tRFs;9,655450762;439,9030303;365,6271008;671,8636623;134,7904908;147,8406725;100,4306412;103,56919;257,9153567;6,648042957;9,191106142;11,07415598;8,109784545
chr5.trna1044-AsnGTT;tRFs;10,34702575;443,3728102;371,7886415;677,2124506;137,1490604;154,3507646;104,9527198;104,5127653;262,2757728;5,815109501;9,483351171;11,93108472;8,492409593
chr3.trna1040-ArgACG;tRFs;15,05505546;486,8534893;455,44585;1064,569981;95,13483978;44,33900562;105,2226946;430,6359976;1634,244896;3,779049941;6,677798898;2,587265609;11,27344043
chr3.trna298-AsnGTT;tRFs;9,442658458;431,4454418;373,8213148;673,313635;131,8686808;150,7438217;94,35620725;102,2717739;257,5248717;6,95653683;8,723514097;11,40374396;8,511074229
chr11.trna1446-AsnGTT;tRFs;8,804281548;437,1380494;369,5018841;677,3413371;131,1118264;151,7115381;97,12344938;102,649204;260,9741561;6,478371327;9,322616405;11,10711478;8,585732775
chr1.trna1014-AsnGTT;tRFs;9,017073852;430,3069203;364,6742852;671,1333057;132,5375289;150,9197701;97,86588019;102,8850978;264,3583596;6,185302148;9,103432634;11,58501734;7,951135135
chr3.trna294-AsnGTT;tRFs;9,708648837;444,565547;368,3585054;671,5414461;133,0655668;151,7115381;94,49119467;101,5994764;257,0367654;6,370398472;8,694289594;10,11835085;8,1377815
chr17.trna719-GluCTC;tRFs;56,84214401;730,5513105;994,0407401;593,8336481;131,5342567;121,4484073;358,0541341;957,268993;1427,027511;4,272640137;3,828409872;7,217976666;29,43413171
chr11.trna207-ProTGG;tRFs;31,09427532;297,8589165;296,5797313;530,9692747;89,0095994;75,48187862;43,33096213;346,7993273;287,5922184;7,46555172;6,312492613;11,43670275;13,04658089
chr3.trna92-ProTGG;tRFs;29,33873882;299,5938064;292,0697375;531,9251827;90,50570696;79,70464106;44,41086149;345,9736988;281,1492155;7,311304784;6,400166121;10,99175899;13,15856871
chr17.trna995-ProTGG;tRFs;30,05691284;306,0996437;305,6632399;526,8126862;90,62891582;72,53474234;40,22625144;345,9854935;276,7237186;6,941112136;6,239431356;12,47490488;12,70128512
chr14.trna193-ProTGG;tRFs;29,63132823;301,3829117;301,9154986;529,7018911;92,03701706;73,98631692;49,27040865;348,4505841;283,1992619;6,971961524;6,765472407;11,66741434;12,94392539
chr1.trna708-GlyTCC;tRFs;138,2617991;1437,844253;480,0284921;1280,218519;629,7380754;400,0627541;438,7091181;2773,344891;2099,57288;18,58675583;31,4309528;33,38726193;39,23306585
chr1.trna1012-GlyTCC;tRFs;138,3947942;1440,88031;468,9123102;1286,136556;621,3598731;400,2387026;442,6237533;2772,247984;2097,490293;18,67930399;30,33503395;33,22246794;39,18640426
chr1.trna1003-GlyTCC;tRFs;137,8096154;1452,807678;479,3932817;1278,220779;621,6942971;392,2770359;448,8331747;2767,152677;2086,166228;18,26283727;30,11585017;33,18950914;40,37160868
chr11.trna1824-GlyTCC;tRFs;143,1826211;1420,983291;477,9958188;1286,705804;626,4466388;393,8165847;441,9488162;2768,308557;2085,417798;18,4325089;29,8966664;35,03520181;40,16629768
chr1.trna1009-GlyTCC;tRFs;137,7298183;1432,09743;479,90145;1279,004838;628,5235881;390,9574226;431,4197974;2762,977356;2072,857196;18,92609909;30,13046243;32,06891003;40,17563
chr3.trna746-GlyTCC;tRFs;143,102824;1445,813903;475,073851;1275,363795;624,7041135;392,8488683;437,4942313;2759,39177;2087,92341;18,1702891;30,87568725;32,398498;40,0263129
chr11.trna1023-ArgTCG;tRFs;11,14499688;792,790487;443,8214998;2270,775448;57,29211905;63,69333348;160,8375121;1191,228502;1945,103514;14,22156753;30,11585017;17,43520391;12,08535211
chr1.trna1006-GlyTCC;tRFs;141,5334807;1436,163578;480,8542656;1284,879913;628,7524045;390,6495128;438,3716495;2761,727119;2090,494103;18,32453604;29,82360515;32,3820186;40,24095622
chr13.trna109-TrpCCA;tRFs;82,69640886;142,6946975;38,04910239;318,725488;138,8035794;111,8152305;79,30510981;259,9314211;114,6073538;1,079728555;1,285878125;2,653183204;3,172988199
chr14.trna192-TyrGTA;tRFs;9,54905461;848,6864723;190,309033;552,8907143;21,38553753;93,56058032;133,570053;493,949904;148,3517678;2,051484254;1,54889865;5,191010616;14,7917244
chr3.trna28-TyrGTA;tRFs;9,602252686;863,3246061;206,1892927;549,7759581;21,31513246;97,03556191;139,3745121;493,489911;155,7059023;2,637622612;1,95804169;5,553557389;13,60651998
chr13.trna107-TrpCCA;tRFs;87,08525012;145,6223243;35,50826083;316,5666397;138,4339528;110,2316945;78,36019786;260,1909043;115,2907026;1,110577942;1,505061896;2,455430418;3,527616292
chr17.trna391-ValCAC;tRFs;513,1752384;482,0825419;179,8280615;834,5828247;389,0407703;1636,10051;758,0218624;1150,501431;303,9925893;30,10900198;41,33805926;78,78800557;26,35446669
chr5.trna109-TyrGTA;tRFs;10,82580843;839,0903623;184,9732657;548,4441313;19,88942996;95,80392287;131,3427606;492,1571108;144,479458;2,406252207;2,644817507;5,487639794;14,57708108
chr6.trna107-ArgCCT;tRFs;31,46666185;2198,864568;2615,415262;1862,097947;91,52658036;134,6005528;288,4006249;1292,816184;2808,986543;26,26825326;21,0854788;12,04644051;25,77586296
chr11.trna1820-TrpCCA;tRFs;67,4285611;83,11207116;36,52459745;308,7904897;50,46282806;36,33335183;47,0431162;236,6133151;130,1616738;0,879207537;0,832898331;1,928089657;2,286417967
chr1.trna672-ProAGG;tRFs;20,45466015;248,9567063;240,3000907;376,9929109;55,19756846;59,38259682;29,49475148;243,2537267;253,2946173;4,118393201;3,843022123;7,185017868;6,896583175
chr11.trna398-TrpCCA;tRFs;66,31140151;86,69028166;33,92023485;311,7333973;51,06127108;37,08113268;42,31855647;239,4558359;126,7449299;1,01802978;1,037469851;2,092883645;2,53839056
chr1.trna1030-ProCGG;tRFs;32,98280701;281,9738305;283,8755235;400,7939448;102,7033839;79,35274419;52,24013191;299,066209;261,2670198;8,545280275;8,431269069;12,34306969;13,07457785
chr17.trna82-ProCGG;tRFs;35,32352235;274,9258401;289,528896;397,1421616;99,21833336;84,32328748;51,83516965;297,3323893;260,4860498;8,360183951;8,884248863;12,82097225;12,57996498
chr14.trna711-ProAGG;tRFs;21,3324284;251,8843331;241,1258642;375,360349;58,66501776;59,03069995;31,31708166;244,7044738;252,8390514;3,686501779;4,42751218;7,827714421;6,849921584
